Sample,Candida theae,Mesorhizobium kowhaii,Xenophilus sp. L33,Candidatus Gallionella acididurans,uncultured bacterium IN-06,Mucilaginibacter sp. OK098,Verrucomicrobium sp. GAS474,Candidatus Peregrinibacteria bacterium CG_4_10_14_0_2_um_filter_38_24,Verrucomicrobia bacterium Tous-C9LFEB,Verrucomicrobia bacterium LW23,Ramlibacter sp. 18x22-1,Tardiphaga sp. vice278,Microvirga thermotolerans,Mesorhizobium loti,Microvirga lupini,uncultured bacterium Bio7,Pinus canariensis,Oxytricha granulifera,Freesia hybrid cultivar,Streptomyces chlorus,clay_depth,sand_depth,silt_depth,pH_depth,coarse_depth,soilclass,soiltemp0to7cm,temp,totalrain,soilwater0to7cm,totalrain_long,temp_long,soiltemp_0_7_long,soilwater_0_7_long,temp_diff,rain_diff,soiltemp0to7cm_diff,soilwater0to7cm_diff,bulk_depth,Habitat,cation_depth,nitro_depth,orgcarbon_depth
S111,0,121,38,16,0,32,32,0,24,49,27,8,59,97,25,1,0,0,0,0,17.8,43.1,39.1,6.7,1.75,6,-9.37,-10.94,0,0.31,6.20E-06,-8.93,-7.74,0.28,-2.005012493,-6.20E-06,-1.62787376,0.029683223,1.14,Temperate_deciduous_forests,17.1,4.52,62
S114,0,60,50,44,0,71,42,0,81,70,10,25,11,91,5,0,0,0,0,0,19.4,34.5,46.1,4.8,1.56,23,3.7,1.83,8.68E-05,0.39,0.000102774,7.3,7.27,0.37,-5.464360671,-1.59E-05,-3.562789197,0.012646189,0.88,Boreal_forests,51.9,10.39,132.8
S12,0,27,25,9,0,46,34,0,54,73,12,3,15,48,9,0,0,0,0,0,29.8,55.2,15,5.3,0.87,12,25.92,25.2,0.000796675,0.23,0.000318133,25,25.78,0.18,0.194731355,0.000478543,0.136742393,0.055306149,1.01,Dry_tropical_forests,22.6,2.75,74.6
S120,1,960,933,554,1,596,698,3,1161,1315,245,685,665,1948,264,3,1,0,1,1,5.6,74.9,19.6,4.5,1.76,23,3.29,4.59,5.80E-05,0.29,0.000158913,0.85,1.53,0.27,3.736720587,-0.000100891,1.761783542,0.021679514,0.79,Moist_tropical_forests,37.2,14,305.6
S121,0,57,75,72,0,121,43,0,103,90,9,27,32,124,10,1,0,0,0,0,30.9,22.6,46.5,5.5,1.78,6,23.8,24.15,7.70E-05,0.23,0.000104609,18.7,18.97,0.28,5.44800721,-2.76E-05,4.827300168,-0.054985925,1.15,Temperate_deciduous_forests,26.5,6.01,71.5
S122,0,59,53,50,0,66,21,0,29,34,17,28,39,99,8,2,0,0,0,0,18.5,40.2,41.3,6.4,1.51,6,5.15,3.86,6.23E-05,0.38,0.000123752,7.26,8.06,0.35,-3.396952245,-6.15E-05,-2.902453111,0.036164957,0.98,Temperate_deciduous_forests,22.5,4.89,80.3
S125,0,75,62,30,0,82,23,0,49,62,26,19,71,128,38,1,0,0,0,0,22.8,37.4,39.9,6.3,1.67,6,27,25.38,0,0.1,1.06E-05,24,26.22,0.1,1.378602141,-1.06E-05,0.783085954,-0.003764281,0.96,Temperate_deciduous_forests,20.2,6.17,79.6
S128,0,44,74,10,0,43,16,0,24,29,67,11,74,78,41,0,0,0,0,0,38.5,24.6,36.9,6.9,1.65,6,22.64,20,5.26E-08,0.06,0.000107536,19.26,21.12,0.08,0.734108735,-0.000107484,1.521802927,-0.024786545,1.17,Temperate_deciduous_forests,21.2,4.23,77
S129,0,70,51,28,0,52,22,0,29,52,30,14,58,98,20,1,0,0,0,0,19.4,39.9,40.6,6.7,1.68,6,10.67,9.81,0.000223342,0.24,0.000103004,10.56,11.47,0.23,-0.745061039,0.000120338,-0.803164309,0.008319267,1.21,Temperate_deciduous_forests,22.3,3.29,56.2
S131,0,67,67,49,0,195,36,0,49,55,11,20,27,112,11,2,0,0,0,0,23.9,36.6,39.5,5.6,0.75,1,25.84,26.58,4.00E-05,0.18,5.41E-05,20.37,20.62,0.22,6.209330765,-1.41E-05,5.223591561,-0.035650422,1.1,Temperate_coniferous_forests,31,9.93,91.1
S137,0,145,75,68,0,177,60,0,112,112,10,21,34,178,21,0,0,0,0,0,22,43.6,34.4,5.7,1.12,1,15.64,16.83,3.78E-05,0.32,0.000107223,16.22,15.18,0.3,0.613927869,-6.94E-05,0.460535902,0.019173641,0.81,Boreal_forests,33.4,7.65,63.7
S139,0,57,39,17,0,33,19,0,23,35,25,8,35,70,19,0,0,0,0,0,14.7,50.7,34.5,6.1,1.78,6,20.45,19.14,4.56E-08,0.04,1.39E-05,19.65,20.58,0.05,-0.507829865,-1.38E-05,-0.135179384,-0.004463959,1.17,Mediterrean,23.2,4.62,77.4
S140,0,62,88,20,0,25,50,0,112,108,13,8,22,86,7,1,0,0,0,0,21.2,51.9,26.9,6,1.63,6,19.19,19.03,1.11E-05,0.03,1.61E-05,18.07,18.48,0.04,0.955511025,-5.00E-06,0.708351571,-0.004111739,1.16,Mediterrean,21.2,4.38,77.8
S141,0,83,46,17,0,80,25,0,44,63,30,13,28,126,16,0,0,0,0,0,38.4,14.7,46.9,6.8,1.63,6,3.79,4.86,6.96E-05,0.37,8.98E-05,1.3,3.46,0.36,3.561460936,-2.02E-05,0.331113928,0.010541071,1.26,Temperate_deciduous_forests,21.8,3.84,42.4
S142,0,189,91,51,0,83,60,1,92,73,19,63,73,256,49,0,0,0,0,0,27.6,38.2,34.2,5.4,0.81,6,21.32,21.1,0.000145746,0.43,0.000272548,21.36,21.66,0.4,-0.267097248,-0.000126803,-0.335071113,0.021070602,0.88,Moist_tropical_forests,22.5,6.8,76.8
S143,0,35,31,16,0,14,11,1,13,26,23,18,42,59,26,0,0,0,0,0,32.2,34.1,33.7,5.4,0.69,0,23.24,23.66,0.000158219,0.38,0.000230853,23.93,23.81,0.35,-0.271530674,-7.26E-05,-0.576609112,0.036861774,1.15,Moist_tropical_forests,16.8,3.47,36.7
S148,0,57,29,28,0,23,18,1,33,26,26,30,35,113,19,0,0,0,0,0,30.9,36.9,32.2,5.2,0.64,6,21.74,21.05,0.000490022,0.4,0.000169483,21.55,22.37,0.36,-0.500844009,0.000320538,-0.627246143,0.04496196,0.86,Moist_tropical_forests,19.3,5.68,67.9
S149,0,103,155,58,0,497,100,0,196,200,43,41,24,193,25,0,0,0,0,0,18.9,51.2,29.9,6,1.32,18,3.42,4.97,0,0.35,0.000236364,2.49,3.26,0.44,2.477722432,-0.000236364,0.162088442,-0.083899355,1.04,Temperate_coniferous_forests,21.9,2.78,70.5
S150,0,24,42,11,0,50,27,0,29,39,23,15,91,72,41,1,0,0,0,0,21.5,40.1,38.4,6.1,1.12,18,8.32,8.64,0,0.16,0.000170912,8.28,7.95,0.33,0.356788385,-0.000170912,0.371831959,-0.176974014,1.36,Temperate_deciduous_forests,22.9,3.11,28.5
S159,0,131,129,68,0,118,45,0,125,128,16,54,31,135,11,1,0,0,0,0,11.7,57,31.3,4.8,1.45,23,-1.9,-8.46,1.69E-05,0.39,0.000128547,-4.62,-0.92,0.36,-3.845164585,-0.000111686,-0.980647133,0.029497569,0.9,Temperate_deciduous_forests,30.7,4.28,53.2
S162,1,113,53,51,1,109,54,0,68,93,3,37,20,122,5,1,1,1,1,1,23.8,36.8,39.3,5.1,0.53,6,-11.96,-14.39,0,0.24,2.73E-05,-22.31,-9.66,0.21,7.925422953,-2.73E-05,-2.302590325,0.021195167,0.51,Arctic_tundra,69.2,13.1,391.7
S165,0,74,20,12,0,50,25,0,19,40,16,16,30,85,26,0,0,0,0,0,26.1,47.9,26,6,1.55,18,10.38,9.73,3.01E-06,0.12,2.53E-05,11.45,11.04,0.17,-1.724954272,-2.23E-05,-0.652690626,-0.052351075,1.23,Tropical_montane_forests,28,2.69,34.3
S168,0,118,220,44,0,121,335,0,979,885,12,39,20,105,11,2,0,0,0,0,27,46.2,26.8,5.2,1.19,3,13.64,13.11,7.40E-06,0.33,0.00013442,14.14,16.22,0.29,-1.034982623,-0.000127017,-2.580284295,0.036139359,0.83,Southern_temperate_forests,30.7,6.32,161.8
S169,0,155,235,60,0,357,170,1,496,492,15,45,22,117,21,3,0,0,0,0,27.5,35,37.5,5.4,1.56,3,10.84,10.24,0.000117332,0.37,0.000321181,11.54,12.52,0.37,-1.303416006,-0.000203848,-1.676013294,0.005160989,0.91,Southern_temperate_forests,33.6,6.55,148.9
S17,0,29,25,13,0,4,14,0,33,41,42,5,130,67,84,0,0,0,0,0,19.6,57.8,22.5,6.2,1.29,18,31.28,31.5,2.13E-07,0.22,0.00010333,29.27,29.43,0.28,2.236840052,-0.000103117,1.857438795,-0.0662085,1.33,Savannas,10.2,1.13,18.1
S171,0,148,103,74,0,36,154,0,344,363,11,58,28,112,9,1,0,0,0,0,29.7,36.7,33.6,5,1.51,3,11.33,11.59,5.96E-05,0.37,0.000235932,12.28,12.32,0.36,-0.689465992,-0.000176348,-0.982479019,0.00579029,0.77,Southern_temperate_forests,37.1,6.58,167.9
S174,0,27,25,9,0,14,11,0,8,25,17,5,25,52,17,0,0,0,0,0,28.7,47.8,23.6,5.6,0.76,0,25.53,25.07,6.19E-06,0.3,0.000344748,25.1,25.51,0.35,-0.03138441,-0.000338561,0.020789673,-0.050866145,1.2,Moist_tropical_forests,15.5,2.08,41.3
S177,0,40,30,16,0,19,24,0,41,39,16,12,35,72,17,0,0,0,0,0,33.7,45.3,20.9,5.7,0.88,10,25.77,24.86,1.33E-05,0.3,0.000306841,24.83,25.5,0.36,0.029518109,-0.000293573,0.270713493,-0.061694587,1.26,Moist_tropical_forests,10.5,1.49,21.5
S181,0,151,136,61,0,74,71,0,110,123,7,29,27,193,14,2,0,0,0,0,25.1,48.6,26.3,5,1.21,3,6.25,4.48,0.000823511,0.38,0.000181844,7.75,7.43,0.33,-3.265997093,0.000641666,-1.178918035,0.04853885,0.83,Southern_temperate_forests,39.5,8.73,265.1
S186,0,137,122,87,0,55,42,0,69,92,20,37,30,122,17,2,0,0,0,0,31.2,46.6,22.2,5.2,1.33,6,9.73,8.98,5.80E-05,0.37,0.000134617,11.31,11.65,0.35,-2.326725391,-7.67E-05,-1.922215163,0.018681953,0.86,Southern_temperate_forests,35,5.93,188
S187,0,128,52,27,0,39,23,0,33,62,27,12,29,139,27,0,0,0,0,0,18.4,42.4,39.1,6.8,1.68,6,12.36,12.96,0,0.28,5.83E-05,8.16,8.67,0.32,4.800852087,-5.83E-05,3.687545857,-0.033433314,1.16,Temperate_deciduous_forests,17,4.26,49.5
S188,0,72,38,17,0,89,20,1,31,35,15,5,33,96,21,0,0,0,0,0,19.9,31.4,48.7,5.8,1.47,6,8.56,9.55,0,0.39,7.79E-05,5.39,5.22,0.34,4.164600134,-7.79E-05,3.33643121,0.044525921,1.09,Temperate_deciduous_forests,29.1,5.97,116.3
S190,0,24,16,5,0,4,6,0,12,17,65,9,41,48,26,0,0,0,0,0,33.5,42.2,24.3,5.7,0.22,10,23.24,22.12,0.001499082,0.49,0.000325864,21.7,22.95,0.48,0.425253574,0.001173218,0.293917323,0.014756684,1.33,Savannas,8.6,1.47,20.1
S193,0,74,37,21,0,17,18,0,37,33,109,18,59,82,35,0,0,0,0,0,33.5,42.2,24.3,5.7,0.22,10,23.24,22.12,0.001499082,0.49,0.000325864,21.7,22.95,0.48,0.425253574,0.001173218,0.293917323,0.014756684,1.33,Savannas,8.6,1.47,20.1
S194,0,19,21,11,0,29,6,0,21,27,32,9,34,50,26,0,0,0,0,0,20.9,57.7,21.3,5.9,0.42,0,21.24,19.34,0,0.16,5.39E-05,18.46,19.57,0.25,0.875609806,-5.39E-05,1.667312322,-0.090018491,1.53,Savannas,9.2,1.18,13.5
S195,0,30,16,6,0,20,13,0,17,22,16,7,21,52,8,0,0,0,0,0,17.7,68.5,13.8,6.3,0.52,18,18.57,16.6,1.86E-05,0.16,6.53E-05,18.47,19.4,0.25,-1.871757716,-4.67E-05,-0.827163291,-0.08533768,1.54,Savannas,11.4,0.93,11.4
S196,0,74,156,27,0,188,87,0,220,190,6,13,25,108,12,2,0,0,0,0,21.8,30.2,48,5.1,0.58,0,7.76,8.38,2.60E-06,0.39,0.000111431,5.02,4.68,0.46,3.353683857,-0.000108835,3.083455374,-0.071824289,1.35,Temperate_deciduous_forests,13.5,3.24,41.9
S197,0,111,100,36,0,174,57,0,85,107,23,29,32,136,29,1,0,0,0,0,26.9,39.7,33.4,5.1,0.45,0,7.82,8.39,2.60E-06,0.38,0.000111789,4.9,4.61,0.46,3.492962922,-0.000109193,3.204465078,-0.076618866,1.36,Temperate_deciduous_forests,12.1,4.08,43.5
S199,0,29,18,13,0,2,9,0,13,24,29,10,61,54,28,0,0,0,0,0,22,54.2,23.8,5.8,1.47,0,22.89,23.9,0.000244364,0.49,0.000391215,23.77,23.11,0.49,0.131493232,-0.000146852,-0.223639804,-9.44E-05,1.21,Moist_tropical_forests,12.9,2.25,24.8
S20,0,210,193,79,0,314,91,0,146,160,38,53,54,235,22,1,0,0,0,0,20.5,37.6,41.9,5.4,1.42,6,9.55,10.72,1.94E-06,0.36,0.000117033,10.89,9.61,0.35,-0.169479732,-0.000115098,-0.065819482,0.007578363,1.08,Boreal_forests,31.2,6.18,83.6
S203,0,49,54,56,0,46,51,0,81,61,14,16,26,94,10,0,0,0,0,0,39.1,30.5,30.3,5.1,0.67,10,23.37,23.46,0.000146184,0.44,0.000350977,24.27,24.47,0.4,-0.805505712,-0.000204793,-1.099271116,0.035649473,1.03,Moist_tropical_forests,23.8,4.92,93.3
S204,0,61,77,43,0,86,55,0,93,105,13,19,26,80,10,0,0,0,0,0,38.5,37.5,24,5.1,0.56,6,23.8,24.35,5.44E-05,0.27,0.000205381,22.18,21.8,0.32,2.168293986,-0.000150949,1.994465614,-0.048296721,1.05,Southern_temperate_forests,18.8,5.7,71.8
S208,0,68,41,26,0,25,20,0,46,63,24,13,20,74,10,1,0,0,0,0,13.8,66.4,19.8,5.5,1.06,12,9.31,8.72,6.59E-05,0.17,4.78E-05,10.09,10.19,0.13,-1.369575588,1.81E-05,-0.877153476,0.039065178,0.92,Temperate_deciduous_forests,43,9.74,151
S211,0,58,29,14,0,14,23,0,28,38,21,14,36,69,15,0,0,0,0,0,24.1,35.7,40.2,5.7,2.42,6,22.58,23.16,0.000160895,0.47,0.00031468,20.9,21.1,0.46,2.25502522,-0.000153785,1.478082166,0.015997447,1.08,Temperate_coniferous_forests,23.6,6.73,65.5
S212,0,77,49,24,0,24,14,0,44,56,36,23,64,121,43,1,0,0,0,0,25.2,35.4,39.4,5.9,2.22,6,24.2,24.8,0.000147135,0.45,0.000304212,22.4,22.64,0.43,2.396345612,-0.000157077,1.568592571,0.01639377,1.14,Temperate_deciduous_forests,22.4,5.07,61.8
S214,0,30,35,9,0,12,15,0,34,30,40,20,100,68,50,0,0,0,0,0,23.2,36.5,40.2,6,1.55,18,20.6,20.19,4.04E-06,0.26,2.28E-05,20.2,20.36,0.28,-0.011117413,-1.87E-05,0.237226326,-0.019218324,1.22,Dry_tropical_forests,23.4,3.02,46.4
S215,0,28,32,14,0,13,25,0,26,39,33,7,65,69,33,0,0,0,0,0,25.4,38.4,36.2,6,2.29,16,21.32,20.84,4.25E-06,0.2,1.55E-05,21.97,22.48,0.23,-1.138307327,-1.12E-05,-1.164392847,-0.029342017,1.21,Dry_tropical_forests,22,3.84,52.8
S217,0,25,16,9,0,5,9,0,17,16,27,8,58,28,24,0,0,0,0,0,29.2,47.8,23,6,0.78,17,28.61,27.68,2.89E-06,0.22,0.000266746,23.67,24.95,0.37,4.00584651,-0.00026386,3.659232926,-0.152668404,1.46,Savannas,12.1,1.39,17.8
S223,0,23,21,13,0,24,23,0,24,28,47,13,140,68,53,1,0,0,0,0,25.1,67.4,7.5,6.4,0.28,4,18.97,18.95,0,0.1,3.40E-06,17.34,18.24,0.1,1.615371691,-3.40E-06,0.732272743,0.002787561,1.48,Savannas,17.6,1.18,11.9
S23,0,229,148,101,0,210,68,2,115,141,39,48,43,255,31,1,0,0,0,0,24.6,33.6,41.9,5.5,1.41,6,9.64,11.23,0.000594636,0.18,0.000116415,9.83,8.5,0.13,1.401523782,0.000478221,1.138545673,0.04228638,1.14,Temperate_deciduous_forests,22.4,5.92,58.6
S231,0,86,55,38,0,23,43,0,42,58,10,17,24,89,19,0,0,0,0,0,38,27.5,34.5,4.8,0.96,19,25.96,25.95,0.000696048,0.41,0.000263884,24.93,24.62,0.39,1.027884675,0.000432164,1.342894115,0.017501382,1.05,Moist_tropical_forests,16.4,5.08,99
S234,0,57,86,57,0,332,396,0,1028,965,10,36,24,107,3,2,0,0,0,0,5.7,66.9,27.4,5,1.48,6,-3.24,-9.16,0.00012926,0.21,4.56E-05,-10.64,-1.91,0.21,1.47300901,8.37E-05,-1.333647614,-0.005898731,0.58,Boreal_forests,44.7,9.72,193.9
S235,0,50,58,63,0,117,109,0,288,258,8,17,9,61,6,0,0,1,0,0,4.8,62.2,33,4.7,1.47,1,-5.63,-19.19,5.16E-06,0.24,5.74E-05,-10.38,-3.14,0.24,-8.81105712,-5.22E-05,-2.482539079,-0.00265966,0.62,Boreal_forests,51.8,9.06,222.6
S236,0,293,92,48,0,124,111,0,225,247,21,17,18,199,20,1,0,1,0,0,15.2,46.8,38.1,4.6,0.93,6,4.34,5.98,4.70E-05,0.43,7.66E-05,7.64,5.97,0.43,-1.659548331,-2.97E-05,-1.637486118,0.006068332,0.54,Boreal_forests,52.1,10.87,256.2
S238,0,88,121,52,0,144,208,0,472,477,8,26,20,117,15,1,0,0,0,0,8.8,51.1,40.1,5.5,1.24,6,12.33,11.44,0.000202007,0.29,0.000124772,7.42,7.69,0.25,4.012409793,7.72E-05,4.638122057,0.038652789,0.67,Boreal_forests,45,9.86,171.9
S243,0,115,98,82,0,84,153,0,409,377,6,53,18,140,10,2,0,0,0,0,7,55.4,37.6,4.8,1.26,6,11.19,10.92,3.73E-05,0.25,0.000147002,10.18,10.36,0.24,0.740525512,-0.000109675,0.827365362,0.006350613,0.64,Boreal_forests,45.3,8.97,160.1
S247,0,76,85,31,0,116,34,1,45,61,28,26,27,130,11,1,0,0,0,0,7.1,72.2,20.7,5.6,1.85,6,15.92,16.28,4.81E-06,0.21,2.35E-05,15.83,15.41,0.24,0.45581623,-1.87E-05,0.506998068,-0.038694916,1.13,Temperate_coniferous_forests,15.8,2.86,81.7
S248,0,91,55,33,0,173,38,0,48,49,27,15,35,144,20,0,0,0,0,0,19.5,53,27.5,5.8,1.32,7,26.09,23.99,0.000167004,0.06,6.64E-05,22.53,23.84,0.11,1.468188021,0.000100603,2.242767082,-0.046626753,1.28,Temperate_coniferous_forests,18.5,3.77,73.2
S249,0,78,164,124,0,188,390,0,817,792,7,19,27,146,16,1,0,0,0,0,13.3,52.9,33.8,5.4,0.72,23,6.89,5.87,2.93E-05,0.26,8.98E-05,12.59,12.68,0.26,-6.720524039,-6.05E-05,-5.788626434,0.003086842,0.65,Temperate_coniferous_forests,38.7,11.21,153.6
S251,0,32,41,22,0,44,33,0,55,58,19,9,39,91,13,0,0,0,0,0,31.3,33.4,35.3,4.6,1.05,10,25.72,26.12,0.000343568,0.45,0.000219137,26.42,26.18,0.4,-0.307705608,0.000124431,-0.453278321,0.049216986,1.13,Moist_tropical_forests,17.6,4.25,60.4
S252,0,53,47,31,0,23,29,0,32,37,22,15,47,124,17,0,0,0,0,0,33.7,31.9,34.4,4.6,1.18,10,26.01,26.35,0.000281839,0.42,0.000211568,26.6,26.48,0.37,-0.249287813,7.03E-05,-0.473340422,0.051816571,1.15,Moist_tropical_forests,19.5,3.83,61.4
S258,0,74,61,23,0,56,51,0,50,74,23,25,21,104,10,1,0,0,0,0,24.7,52.8,22.5,5.9,1.1,6,1.86,6.15,9.17E-05,0.39,0.000199424,4.26,2.14,0.4,1.890956668,-0.000107723,-0.277145368,-0.006014266,0.87,Southern_temperate_forests,32.8,6.17,69.5
S260,0,146,66,42,0,150,61,0,71,81,23,36,23,180,11,0,0,0,0,0,17.3,62.5,20.2,5.8,0.93,6,3.24,3.42,1.39E-05,0.21,0.000240313,3.41,3.66,0.21,0.008844842,-0.000226459,-0.416704347,-0.001102774,1,Southern_temperate_forests,30.2,6.22,85.1
S261,0,140,95,50,0,110,37,2,48,82,27,35,31,187,23,2,0,0,0,0,13.3,62.2,24.4,5.7,1.09,3,2.52,0.22,6.42E-05,0.44,0.000117627,6.01,5.23,0.39,-5.784556693,-5.34E-05,-2.704713474,0.048744281,0.87,Southern_temperate_forests,28.7,6.84,121.1
S262,0,104,167,74,0,251,335,0,913,881,7,55,30,179,21,2,0,0,0,0,21.4,47.1,31.6,5.8,1.4,6,7.28,7.84,0.000110575,0.4,0.000172947,6.12,7.23,0.38,1.716252159,-6.24E-05,0.046128259,0.01787649,0.73,Southern_temperate_forests,33,14.06,204.4
S263,0,82,136,44,0,370,100,0,265,256,10,33,12,136,9,1,0,0,0,0,22.5,48.1,29.4,5.8,1.25,6,2.26,1.92,0.000122727,0.4,0.000146374,4.27,4.79,0.39,-2.354914727,-2.36E-05,-2.525105666,0.01493937,0.72,Southern_temperate_forests,38.5,10.91,177.4
S268,0,88,26,20,0,27,20,0,25,41,32,8,73,83,42,0,0,0,0,0,21.4,44.1,34.5,7,1.52,6,11.67,11.1,4.79E-06,0.28,0.000114267,11.32,11.05,0.33,-0.2183578,-0.000109482,0.624621947,-0.040349405,1.24,Mediterrean,16.3,3.86,52.4
S269,0,40,45,15,0,30,9,0,25,21,22,9,53,52,28,0,0,0,0,0,21.6,43.2,35.2,7.3,1.35,6,11.73,10.92,4.24E-06,0.28,0.000106324,11.59,11.6,0.32,-0.665947169,-0.00010208,0.133316573,-0.033960538,1.28,Mediterrean,15.6,3.27,47.8
S27,0,123,77,34,0,91,49,1,85,90,30,18,68,135,19,1,0,0,0,0,24.1,35.6,40.3,5.6,1.15,18,10.34,11.44,9.05E-06,0.35,0.000111334,10.67,9.23,0.34,0.76872018,-0.000102284,1.108117674,0.009167078,1.17,Temperate_deciduous_forests,25.5,6.56,87.8
S29,0,64,66,24,0,26,21,0,34,32,44,6,50,94,18,0,0,0,0,0,21.3,31,47.7,6.1,1.43,18,13.24,13.87,0.000362748,0.3,0.000110746,12.67,11.64,0.28,1.203895628,0.000252001,1.604750252,0.019867126,1.22,Temperate_deciduous_forests,26.9,7.02,75.3
S30,0,79,63,24,0,17,25,0,40,46,21,18,39,78,13,0,0,0,0,0,25.8,31.3,43,5.7,1.3,6,12.91,14.19,2.94E-05,0.34,0.00012225,11.49,10.5,0.32,2.703396634,-9.28E-05,2.408513766,0.014665143,1.16,Temperate_deciduous_forests,24.4,6.53,72.9
S31,0,95,86,44,0,149,40,0,48,64,16,18,32,93,13,1,0,0,0,0,20.5,37.6,41.9,5.4,1.42,6,9.55,10.72,1.94E-06,0.36,0.000117033,10.89,9.61,0.35,-0.169479732,-0.000115098,-0.065819482,0.007578363,1.08,Boreal_forests,31.2,6.18,83.6
S32,0,104,70,67,0,111,41,0,91,93,16,24,39,103,15,0,0,0,0,0,26,31.5,42.5,5.5,1.51,18,11.47,11.64,3.56E-06,0.3,0.000113294,10.57,10.04,0.27,1.075997718,-0.000109731,1.431744964,0.027012818,1.11,Temperate_deciduous_forests,24.2,7.23,91.5
S37,0,93,93,65,0,330,48,0,69,65,17,34,43,135,10,1,0,0,0,0,19.6,43.9,36.5,5.1,1.01,23,4.73,5.68,2.57E-05,0.39,0.000157389,0.68,2.53,0.38,4.999064763,-0.000131654,2.197948953,0.00661928,0.86,Boreal_forests,29.8,9.13,95.7
S41,0,78,142,73,0,514,45,0,135,136,21,42,27,143,16,0,0,0,0,0,30.3,24,45.7,4.8,1.04,6,18.65,19.12,0.000340583,0.37,0.000382957,18.89,18.14,0.37,0.234436976,-4.24E-05,0.510953239,-0.000157928,0.92,Temperate_coniferous_forests,30.2,7.92,186.5
S43,0,28,20,8,0,19,9,0,9,17,15,3,61,37,47,0,0,0,0,0,35,28.8,36.2,6.9,1.76,16,14.78,14.14,5.34E-05,0.19,7.00E-05,10.88,11.91,0.25,3.255271132,-1.67E-05,2.879272841,-0.061145309,1.25,Mediterrean,21.6,3.87,39.7
S44,0,23,35,14,0,11,10,0,20,41,25,9,40,73,35,0,0,0,0,0,38.9,21.1,40,7,1.06,18,21.02,20.66,0.001663424,0.42,0.000391366,15.59,16.91,0.42,5.065357117,0.001272058,4.111671813,-0.00560108,1.31,Temperate_deciduous_forests,24.2,2.91,42.5
S45,0,33,52,13,0,45,26,0,63,61,5,4,19,63,10,0,0,0,0,0,57.1,12.8,30.1,5.1,0.53,0,28.32,27.56,0.000449467,0.28,0.000229369,27.32,28.19,0.25,0.247675985,0.000220098,0.135203581,0.028569601,1.15,Moist_tropical_forests,28.7,6.6,84.7
S49,0,39,58,28,0,30,44,1,70,67,12,16,34,85,22,0,0,0,0,0,57.1,12.8,30.1,5.1,0.53,0,28.32,27.56,0.000449467,0.28,0.000229369,27.32,28.19,0.25,0.247675985,0.000220098,0.135203581,0.028569601,1.15,Moist_tropical_forests,28.7,6.6,84.7
S52,0,23,12,15,0,11,13,0,12,22,41,3,215,42,165,0,0,0,0,0,25.7,27.3,47,7.9,2.17,24,9.77,8.89,1.19E-05,0.4,0.000163061,7.51,7.15,0.27,1.38675838,-0.000151145,2.611105701,0.126498431,1.39,Mediterrean,29.3,1.93,8
S53,0,30,34,17,0,25,16,0,29,39,53,5,111,80,65,0,0,0,0,0,31.9,24.2,43.9,7.7,2.2,5,4.72,-1.46,8.16E-06,0.41,0.000176608,-0.04,2.23,0.33,-1.422286899,-0.000168445,2.489130865,0.086891776,1.3,Mediterrean,25.4,2.69,14.3
S56,0,69,55,22,0,8,47,0,99,80,11,13,26,67,16,0,0,0,0,0,30.4,39.9,29.8,4.8,0.87,10,22.14,22.1,0.000724331,0.45,0.000385368,22.24,22.22,0.43,-0.142091847,0.000338963,-0.080089444,0.017648366,1.11,Moist_tropical_forests,16.1,3.23,47.8
S58,0,71,59,34,0,18,31,0,51,48,17,15,25,89,17,0,0,0,0,0,27.9,41.3,30.8,5.2,1.15,0,21.44,21.04,0.000868084,0.43,0.000386219,22.21,22.28,0.42,-1.171403158,0.000481866,-0.840943445,0.013750653,1.14,Moist_tropical_forests,15.5,2.63,39.4
S61,0,75,47,18,0,17,27,0,46,54,13,16,28,107,17,0,0,0,0,0,30.2,41.5,28.3,5.3,1.13,10,21.44,21.04,0.000868084,0.43,0.000386219,22.21,22.28,0.42,-1.171403158,0.000481866,-0.840943445,0.013750653,1.18,Moist_tropical_forests,16.2,2.77,44.6
S62,0,86,120,19,0,151,30,0,41,54,22,27,38,134,20,0,0,0,0,0,19.3,52,28.7,5.5,1.12,17,11.59,12.31,6.25E-05,0.38,8.96E-05,11.29,10.93,0.36,1.022989548,-2.71E-05,0.666479692,0.014375952,0.94,Savannas,24.3,4.28,65.9
S63,0,77,63,94,0,138,17,0,33,34,9,36,33,122,16,0,0,0,0,0,26.2,48.9,24.9,5.2,1.14,6,5.92,4.59,0.000479566,0.4,0.000147541,10.54,9.48,0.37,-5.944754437,0.000332025,-3.567349798,0.026748028,0.94,Southern_temperate_forests,23.4,4.64,103.3
S68,0,23,20,17,0,35,13,0,22,25,23,14,27,56,9,0,0,0,0,0,20.2,60.1,19.7,6.1,0.44,0,26.99,25.18,0,0.14,0.000228635,22.18,23.59,0.28,2.997232081,-0.000228635,3.406134107,-0.143015176,1.54,Savannas,11.6,0.99,14.1
S69,0,54,37,30,0,24,29,1,22,23,9,8,30,74,17,1,0,0,0,0,34.2,55.6,10.2,5,0.98,10,23.97,24.01,0.000348643,0.41,0.000225843,24.38,24.13,0.37,-0.364928115,0.000122799,-0.162065763,0.032771208,1.25,Moist_tropical_forests,14.3,3.01,35.7
