Sample,Candida theae,Mesorhizobium kowhaii,Xenophilus sp. L33,Candidatus Gallionella acididurans,uncultured bacterium IN-06,Mucilaginibacter sp. OK098,Verrucomicrobium sp. GAS474,Candidatus Peregrinibacteria bacterium CG_4_10_14_0_2_um_filter_38_24,Verrucomicrobia bacterium Tous-C9LFEB,Verrucomicrobia bacterium LW23,Ramlibacter sp. 18x22-1,Tardiphaga sp. vice278,Microvirga thermotolerans,Mesorhizobium loti,Microvirga lupini,uncultured bacterium Bio7,Pinus canariensis,Oxytricha granulifera,Freesia hybrid cultivar,Streptomyces chlorus,clay_depth,sand_depth,silt_depth,pH_depth,coarse_depth,soilclass,soiltemp0to7cm,temp,totalrain,soilwater0to7cm,totalrain_long,temp_long,soiltemp_0_7_long,soilwater_0_7_long,temp_diff,rain_diff,soiltemp0to7cm_diff,soilwater0to7cm_diff,bulk_depth,Habitat,cation_depth,nitro_depth,orgcarbon_depth
G2657,0,193,165,87,0,61,81,3,154,186,48,61,88,304,53,0,0,0,0,0,40.6,33.5,25.9,5.2,0.7,6,25.27,24.9,3.06E-05,0.28,0.000154212,25.44,25.72,0.3,-0.545373122,-0.000123635,-0.449403327,-0.019652046,1.1,Moist_tropical_forests,21.7,3.92,73.2
G2658,0,251,209,91,0,110,112,1,170,172,111,79,191,452,92,1,0,0,0,0,40.3,34.3,25.3,5.2,0.69,10,25.27,24.9,3.06E-05,0.28,0.000154212,25.44,25.72,0.3,-0.545373122,-0.000123635,-0.449403327,-0.019652046,1.13,Moist_tropical_forests,21.7,3.22,55.1
G2659,0,167,164,62,0,44,63,2,124,170,72,35,191,369,92,0,0,0,0,0,30.7,34.9,34.3,5.3,0.84,10,25.71,25.27,0.000691047,0.35,0.000121515,24.89,25.12,0.28,0.388755084,0.000569533,0.590411309,0.070132981,1.12,Moist_tropical_forests,21.6,3.4,56.6
G2660,0,178,98,53,0,43,61,0,80,118,178,35,336,238,218,0,0,0,0,0,31,33.8,35.3,5.5,0.57,10,23.4,22.84,6.07E-06,0.19,7.89E-05,24.24,24.65,0.22,-1.393056743,-7.28E-05,-1.245830971,-0.031183868,1.13,Moist_tropical_forests,20.7,3.05,54.9
G2661,0,170,175,72,0,52,49,0,132,161,76,29,141,389,80,0,0,0,0,0,36.5,32.5,30.9,5.2,0.87,10,24.45,23.82,0.000117363,0.26,0.000720855,23.36,24.29,0.25,0.453430083,-0.000603491,0.162208946,0.001672038,1.08,Moist_tropical_forests,24.7,4.01,79.3
G2664,0,222,121,55,0,66,94,0,139,172,45,46,134,352,67,0,0,0,0,0,39.5,30.3,30.2,5.1,0.96,6,22.94,21.97,0.000439795,0.28,0.000615542,22.64,23.54,0.26,-0.67007415,-0.000175747,-0.596295736,0.011831857,1.05,Moist_tropical_forests,25.1,3.71,102.6
G2677,0,276,466,116,0,393,244,4,392,471,79,96,183,682,71,0,0,0,0,0,36.7,31.2,32.1,5.1,1.05,3,17.42,17.43,0.000164348,0.41,0.000397491,17.9,17.73,0.39,-0.468884363,-0.000233143,-0.307374454,0.016438106,0.88,Tropical_montane_forests,26,5.64,97.7
G2679,0,381,334,143,0,273,252,0,467,488,51,100,140,504,74,9,0,0,0,0,34.8,33.2,32,5.2,0.83,3,17.42,17.43,0.000164348,0.41,0.000397491,17.9,17.73,0.39,-0.468884363,-0.000233143,-0.307374454,0.016438106,0.88,Tropical_montane_forests,22.7,5.37,87
G2700,0,207,360,317,0,297,258,1,573,646,63,170,129,473,53,6,0,0,0,0,23.9,39.7,36.4,5,1.71,3,18.09,17.19,0.00292774,0.42,0.000752927,17.55,17.68,0.41,-0.351663716,0.002174813,0.404206207,0.014662826,0.78,Grasslands_and_shrublands,37.5,7.55,161.4
G2728,0,488,280,140,0,110,138,1,256,280,38,125,131,422,50,5,0,0,0,0,32.3,33.5,34.2,5.2,1.13,3,16.62,16.24,0.000273496,0.42,0.000752927,17.55,17.68,0.41,-1.310405277,-0.000479431,-1.06485693,0.012001718,0.88,Tropical_montane_forests,26.3,5.95,107.9
